floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,flat_id
3,8,3,68.3,58000000,Красносельский,Милютинский переулок,20/2С1,Тургеневская,314637692
1,5,3,78.4,73000000,Хамовники,Пожарский переулок,10,Кропоткинская,315879117
9,10,3,101.0,47400000,Таганский, Земляной Вал,48Б,Чкаловская,308996643
4,8,3,110.0,93109059,Хамовники,Гагаринский переулок,28,Смоленская,315561813
2,5,3,125.0,130000000,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,310776672
6,7,3,90.4,90400000,Арбат,Трубниковский переулок,26С1,Смоленская,311737958
39,41,3,80.0,49990000,Раменки,1-й Сетуньский проезд,8,Кутузовская,316171447
23,76,3,184.0,110000000,Пресненский,набережная Пресненская,8с1,Деловой центр,303224245
12,12,3,76.0,45000000,Гагаринский,Университетский проспект,5,Университет,315989578
6,13,3,101.1,60963630,Южнопортовый,Сосинская ,8,Волгоградский проспект,316709381
3,14,3,105.2,195000000,Хамовники, Усачева,15А,Спортивная,312676566
8,16,3,77.0,14490000,Некрасовка, Вертолетчиков,2,Некрасовка,315879052
4,14,3,105.0,210000000,Хамовники, Усачева,15А,Спортивная,315236500
6,11,3,113.0,226000000,Хамовники, Усачева,15А,Спортивная,312676561
4,9,3,61.0,12500000,Савёлки,Зеленоград,к302А,Зеленоград — Крюково,313419694
2,6,3,121.9,130000000,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,312149256
8,36,3,65.7,49000000,Хорошево-Мневники,Шелепихинская набережная,34к3,Шелепиха,316449363
2,4,3,69.0,52900000,Пресненский,Большой Патриарший переулок,12С2,Тверская,314605138
7,10,3,177.5,128000000,Пресненский, Климашкина,17С2,Улица 1905 года,315095998
5,9,3,92.1,112000000,Якиманка,Лаврушинский переулок,17С2,Третьяковская,312554751
7,24,3,75.7,23800000,Головинский,Флотская ,68к1,Моссельмаш,315171624
1,5,3,78.4,73000000,Хамовники,Пожарский переулок,10,Кропоткинская,311242296
7,10,3,177.7,128000000,Пресненский, Климашкина,17С2,Улица 1905 года,313380614
2,11,3,103.0,62900000,Арбат,Смоленская набережная,2А,Смоленская,313852078
9,38,3,70.0,30500000,Хорошевский,Хорошевское шоссе,12к1,Беговая,307962802
17,32,3,84.0,74000000,Дорогомилово,Поклонная ,9,Поклонная,310634852
